Gene	pstA1_ctrl_1	pstA1_ctrl_2	pstA1_ctrl_3	pstA1_RIF_30min_1	pstA1_RIF_30min_2	pstA1_RIF_30min_3	pstA1_RIF_60min_1	pstA1_RIF_60min_2	pstA1_RIF_60min_3	WT_ctrl_1	WT_ctrl_2	WT_ctrl_3	WT_RIF_30min_1	WT_RIF_30min_2	WT_RIF_30min_3	WT_RIF_60min_1	WT_RIF_60min_2	WT_RIF_60min_3
Rv0001	9408	8903	8622	11616	7173	13574	12664	10334	9195	7792	5825	7346	14155	8222	10807	15275	7671	11762
Rv0002	6328	5688	6566	6831	6098	9334	8856	7172	7180	5753	6046	5170	6993	6992	7490	8831	5742	8815
Rv0003	3965	3161	3895	5303	2810	5543	5156	3598	3748	3226	2720	2586	5174	3073	4290	5210	2634	4023
Rv0004	3058	2492	2988	3946	2549	4198	3694	3038	2936	2375	2039	1761	3944	2442	2763	3657	2125	2890
Rv0005	59565	58670	53387	77201	56008	85185	68266	58896	51988	47814	41743	37501	80503	53799	58654	73656	41741	57268
Rv0006	49352	47219	52236	66466	48675	75950	59106	48988	51926	38515	31202	30740	71150	44754	46514	61147	35119	50741
Rv0007	9030	9420	10930	12643	9460	15330	10513	10309	10660	6701	6568	5586	12719	8542	8715	11441	7060	9853
Rvnt01	307	224	263	340	237	317	377	244	252	279	208	224	422	230	297	404	233	331
Rvnt02	286	258	262	380	283	327	393	315	252	252	201	208	483	256	328	403	258	352
Rv0008c	686	797	792	879	866	1097	954	1176	942	637	711	595	907	878	732	1096	783	1084
Rv0009	18426	26827	20047	19902	23613	31244	25473	28315	23813	15147	22076	13475	19466	26906	21073	24774	21702	24589
Rv0010c	7506	8518	7675	9376	6810	11995	9940	8992	8223	5758	5890	4658	9292	7519	7284	9560	6478	8353
Rv0011c	5144	4602	4865	6584	4367	7159	6519	5346	4844	4978	3354	4338	7667	5170	6035	7572	4316	6442
Rv0012	4841	4751	4493	5644	5834	6238	6157	5458	4669	3807	3880	3178	5364	5053	4204	5700	4051	5551
Rv0013	4387	4021	3979	5291	3576	6024	5605	4435	4102	3992	3201	2876	6098	3855	4325	5681	3331	4584
Rv0014c	12878	9878	11811	14646	10365	16421	14702	11245	11202	11918	7454	8046	16927	10143	11530	15925	8190	12163
Rv0015c	8390	8976	10492	10982	8936	13926	9276	8829	9194	6857	7714	5371	12797	9160	8494	10181	6576	8280
Rv0016c	10317	8946	9654	12228	9051	13913	11453	9639	9062	9103	6988	6529	14611	8853	9403	13066	7139	9614
Rv0017c	8190	5967	7787	9450	6362	11384	9337	7572	7771	7119	4389	5253	10233	6491	7452	10197	5533	7808
Rv0018c	10101	8867	11422	12926	9128	15313	11752	9301	10379	8877	6993	6976	14896	9083	9899	13037	7531	10783
Rv0019c	4865	4799	6094	6375	4831	8555	6117	4915	5907	4439	4053	3771	7366	4848	5794	6548	3952	6105
Rv0020c	44504	43977	48363	52324	46838	68341	52274	47560	47389	35745	37340	30573	55285	45460	43951	55919	36047	52697
Rvnt03	637	576	857	627	654	1099	927	826	823	571	605	643	800	645	866	784	652	996
Rv0021c	2882	2657	3561	3026	2799	4612	3663	3329	3659	2769	2475	2732	3278	2950	3652	3611	2619	4182
Rv0022c	64	91	71	75	78	101	85	90	60	55	69	51	96	73	68	109	69	100
Rv0023	1506	1263	1873	1736	1755	2115	1464	1464	1409	1257	1013	1018	1813	1308	1246	1351	1011	1469
Rv0024	3076	2873	3746	3020	3603	4839	3569	3314	3938	2212	2241	1787	2939	2828	2550	3313	2145	3114
Rv0025	1960	1862	1881	2046	2052	2431	2098	1821	1732	1330	1492	1145	1952	1464	1520	1979	1244	1934
Rv0026	3708	2972	3694	4765	2922	5099	4484	3383	3645	2722	2021	2177	4728	2421	2965	4013	2201	3340
