Gene	AP800_S12	AP80_S13	AR200_S10	AR80_S11	AUNT_S15	AV80_S14	BP800_S18	BP80_S19	BR200_S16	BR80_S17	BUNT_S21	BV80_S20	CP800_S24	CP80_S25	CR200_S22	CR80_S23	CUNT_S27	CV80_S26	L1_S2	L2_S5	L3_S8	O1_S3	O2_S6	O3_S9	U1_S1	U2_S4	U3_S7	Untreat_R1_S28	Untreat_R2_S29	Untreat_R3_S30
Rv0001	3317	6896	3828	4626	3643	4649	2684	4616	3053	5001	4163	3418	2953	5157	4306	3748	3832	3543	2053	2250	3188	2543	3336	3513	6782	4409	5745	3039	7100	1850
Rv0002	1835	4560	2577	3079	2477	3026	1592	3402	2253	3592	2936	2390	1878	3426	3238	2757	2510	2317	1962	2069	2479	2458	2821	2838	4601	3329	4156	4582	10899	2656
Rv0003	1389	2888	1407	2353	1827	2203	1234	2388	1416	2598	2245	1857	1376	2795	2023	2167	2179	1875	819	833	1002	825	1133	1045	2750	2090	2466	2194	5496	1360
Rv0004	793	1276	700	989	874	1102	742	1083	832	1349	1114	852	775	1143	1039	1124	994	901	442	369	428	364	498	480	1001	1049	951	1269	2970	764
Rv0005	25178	26686	13405	19304	16070	21556	19904	22181	12228	21982	20176	17812	22454	25678	18920	19953	18790	18264	12595	12683	18476	13166	17054	17557	26683	21600	28820	26126	62022	15736
Rv0006	24972	31395	14162	19051	19370	26063	20385	26866	14288	25825	24436	21192	23844	28098	17681	21836	21003	21504	9487	8878	11056	9179	12759	13559	24545	24539	25768	34938	83172	20982
Rv0007	5530	6658	2550	3559	3985	5336	3969	6056	2683	5506	5405	4262	4888	5608	2580	4264	3967	4027	1194	1035	1278	1175	1607	1793	3411	4126	3602	5637	14617	3538
Rv0008c	287	516	285	265	294	310	220	389	306	410	358	236	235	345	272	263	280	208	258	226	202	200	205	242	348	367	295	527	1339	328
Rv0009	2414	8611	8652	7839	5444	5720	2024	7053	6895	8420	6378	4384	2362	6453	9747	6917	5255	4314	4604	4366	5908	3368	4706	5096	9150	8247	9544	7334	17140	4554
Rv0010c	1292	3331	2865	2865	2170	2323	1148	2643	2551	3554	2663	1896	1316	2995	3665	2867	2399	1829	1567	1482	1946	1162	1674	1699	3302	2987	3193	1717	3987	964
Rv0011c	646	1563	957	1026	811	1031	637	1058	793	1353	938	760	540	1257	1156	973	872	808	730	786	1285	617	896	862	1446	977	1281	667	1555	418
Rv0012	1361	2449	1575	1544	1365	1617	1046	1968	1321	1983	1725	1326	1246	1803	1586	1523	1284	1101	2311	1801	2159	1314	1392	1628	2007	2057	1865	3155	7615	1966
Rv0013	1483	2859	1380	1941	1552	1988	1205	2278	1241	2169	1938	1548	1463	2295	1637	1815	1746	1536	1059	1017	1302	1005	1198	1302	2311	1955	2062	1900	4788	1193
Rv0014c	3168	7298	3499	4421	4061	4984	2640	5835	3157	5317	5169	4041	3282	5862	4149	4741	4350	4132	2959	2774	3647	1924	2915	2695	6071	5302	6191	5125	11751	3273
Rv0015c	4013	7686	3590	3764	4796	5770	3089	6944	3641	5581	6036	4452	3647	6055	3874	4554	4189	4081	2685	1998	2435	1404	1941	2056	3820	5180	4148	5969	15456	3788
Rv0016c	3353	5676	3213	3694	3582	4371	2774	4782	3115	4593	4688	3525	3301	4962	3659	3822	3841	3504	2838	2604	3170	2032	2615	2682	4608	4544	4566	4865	11540	3012
Rv0017c	2083	3609	2244	2314	2227	2807	1844	2990	1984	3022	2881	2270	2205	3094	2865	2540	2488	2243	2256	1957	3242	1365	2026	1966	3913	3134	4065	3383	7751	2065
Rv0018c	3971	5976	3588	3575	3834	4537	3188	5072	3322	4933	5007	3689	3878	4898	3930	3916	3895	3485	3687	3081	3693	2405	2812	3059	4972	5129	4861	8615	20242	5045
Rv0019c	1780	2720	1402	1600	1633	1958	1483	2156	1375	2075	2046	1458	1619	2296	1710	1576	1627	1486	1778	1565	1676	1133	1368	1330	2335	2348	2297	3574	8625	2030
Rv0020c	13231	17695	10089	9096	11504	13577	9535	17132	9788	13003	14125	10122	12105	15377	10427	10273	11234	10507	13775	11023	13386	9200	9511	11427	14065	15381	14603	19426	47713	11735
Rv0021c	1307	1545	875	928	882	1041	1328	1110	808	1228	1150	863	1217	1092	1035	933	815	790	742	690	778	612	668	667	1245	1131	1028	1986	4873	1240
Rv0022c	491	49	22	13	23	30	613	31	19	22	30	21	382	38	8	11	24	20	31	16	22	21	30	27	34	35	18	54	127	50
Rv0023	936	856	494	378	556	603	889	683	555	648	672	488	832	616	569	486	475	445	816	591	622	527	501	477	779	748	728	1218	3006	690
Rv0024	1263	1097	739	515	624	730	1027	907	692	790	861	616	1151	849	725	593	631	540	1016	800	820	644	593	775	805	836	785	1169	2948	666
