Gene	M_BDQ_30min_1	M_BDQ_2hrs_1	M_DMSO_30min_1	M_DMSO_2hrs_1	M_CTRL_30min_1	M_CTRL_2hrs_1	M_BDQ_30min_2B	M_BDQ_2hrs_2B	M_DMSO_30min_2B	M_DMSO_2hrs_2B	M_CTRL_30min_2B	M_CTRL_2hrs_2B	D_BDQ_30min_1	D_DMSO_30min_1	D_CTRL_30min_1	D_BDQ_2hrs_1	D_DMSO_2hrs_1	D_CTRL_2hrs_1	D_BDQ_30min_2T	D_DMSO_30min_2T	D_CTRL_30min_2T	D_BDQ_2hrs_2T	D_DMSO_2hrs_2T	D_CTRL_2hrs_2T
RV1984a	96	70	78	185	98	33	62	128	35	85	35	82	39	9	35	32	30	27	52	39	28	53	20	20
RVnc0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RVnc0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RVnc0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RVnc0004	694	317	418	811	424	166	274	508	194	414	129	381	73	26	59	77	31	30	173	113	70	163	58	58
RVnc0005	88	44	59	99	47	17	57	116	36	62	31	43	18	14	19	21	28	10	14	32	16	30	25	12
RVnc0006	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
RVnc0008	196	111	150	252	134	42	96	148	61	92	55	114	14	5	5	10	4	0	20	6	4	6	4	3
RVnc0010	569	370	421	695	402	131	363	580	242	381	146	288	208	69	132	83	72	51	230	147	129	108	75	55
RVnc0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RVnc0013	0	1	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
RVnc0015	36	26	26	40	17	6	16	11	10	12	6	7	13	0	6	2	2	1	9	3	5	2	1	4
RVnc0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RVnc0021	1255	757	992	1900	948	300	545	889	393	789	261	573	63	16	38	35	17	5	109	38	38	45	11	5
RVnc0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RVnc0034	68	55	94	100	59	30	68	78	27	60	31	47	21	10	17	18	15	13	39	40	18	48	28	25
RVnc0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RVnc0036	0	0	0	3	5	0	0	6	1	0	0	1	0	2	0	2	0	0	0	1	2	0	0	0
RVnc0036a	3479404	1879521	2713426	4401567	2258729	876381	2954203	3666221	1791021	2503945	1101770	2121314	400084	123895	276187	188700	114451	91134	502969	326424	272836	271374	122235	96200
RVnc0040	237	140	191	235	134	44	129	177	71	132	58	96	80	49	70	38	62	39	95	112	71	65	68	41
RVnc0046	1218660	738621	986653	1551151	863623	287994	1178759	1528331	441846	751072	368058	772434	416312	131813	260575	223047	170955	130369	524341	353522	270975	322647	188859	140053
RVnc0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rv0001	4579	3124	3969	4119	2383	833	4791	5259	2315	2619	1669	1678	7474	5883	11162	5071	7253	7526	8896	14877	9510	7243	7560	7441
Rv0002	2375	1347	1776	2426	1379	379	1343	1712	830	1150	614	882	326	125	227	269	178	120	462	332	203	390	197	128
Rv0003	618	284	382	662	310	89	304	442	171	259	131	256	65	23	45	50	58	34	80	53	47	76	58	34
Rv0004	796	496	597	951	527	186	641	971	301	533	228	392	203	120	179	226	195	100	234	277	170	231	208	108
Rv0005	23878	15148	21465	63222	34459	13754	19968	64010	10147	33150	8009	27867	15365	8282	15342	24256	26176	25350	18432	21692	13883	33030	27911	25903
